"Education, Australia, March quarter movements (%)"
,"Preschool & primary education (%)","Secondary education (%)","Tertiary education (%)","Education (%)"
"Mar-19","2.3","4.2","1.5","2.7"
"Mar-20","2.9","3.4","1.3","2.6"
"Mar-21","1.1","1.8","-1.7","0.4"
"Mar-22","4.5","3.0","6.3","4.5"
"Mar-23","-0.8","4.9","9.7","5.3"
"Mar-24","4.3","6.1","6.5","5.9"
"Mar-25","5.6","6.4","3.6","5.2"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2025"
