"Percentage change (from previous financial year)"
"Period","Sydney","Melbourne","Brisbane","Adelaide","Perth","Hobart","Darwin","Canberra","Weighted average of eight capital cities"
"2023-24","4.3","4.0","4.1","4.9","4.3","3.3","3.6","3.6","4.2"
"2022-23","7.1","6.9","7.3","7.9","6.2","7.1","6.4","6.5","7.0"
"2021-22","3.9","4.0","5.4","4.2","6.0","5.0","6.0","4.8","4.4"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2025"
